"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0.1,0,0.1,0.14142,-0.04,0,-0.04
1,10,0.1,0,0.06,0.11662,-0.04,0,-0.02
2,10,0.1,0,0.02,0.10198,-0.04,0,0
3,10,0.1,0,0,0.1,-0.04,0,0.02
4,10,0.1,0,0,0.1,-0.04,0,0.04
5,10,0.1,0,0,0.1,-0.04,0,0.06
6,10,0.1,0,0,0.1,-0.04,0,0.08
7,10,0.1,0,0,0.1,-0.04,0,0.1
8,10,0.1,0,0,0.1,-0.04,0,0.12
9,10,0.1,0,0,0.1,-0.04,0,0.14
10,10,0.1,0,0,0.1,-0.04,0,0.16
11,10,0.1,0,0,0.1,-0.04,0,0.18
12,10,0.1,0,0,0.1,-0.04,0,0.2
13,10,0.1,0,0,0.1,-0.04,0,0.22
14,10,0.1,0,0,0.1,-0.04,0,0.24
15,10,0.1,0,0,0.1,-0.04,0,0.26
16,10,0.1,0,0,0.1,-0.04,0,0.28
17,10,0.1,0,0,0.1,-0.04,0,0.3
18,10,0.1,0,0,0.1,-0.04,0,0.32
19,10,0.1,0,0,0.1,-0.04,0,0.34
20,10,0.1,0,0,0.1,-0.04,0,0.36
21,10,0.1,0,0,0.1,-0.04,0,0.38
22,10,0.1,0,0,0.1,-0.04,0,0.4
23,10,0.1,0,0,0.1,-0.04,0,0.42
24,10,0.1,0,0,0.1,-0.04,0,0.44
25,10,0.1,0,0,0.1,-0.04,0,0.46
26,10,0.1,0,0,0.1,-0.04,0,0.48
27,10,0.1,0,0,0.1,-0.04,0,0.5
28,10,0.1,0,0,0.1,-0.04,0,0.52
29,10,0.1,0,0,0.1,-0.04,0,0.54
30,10,0.1,0,0,0.1,-0.04,0,0.56
31,10,0.1,0,0,0.1,-0.04,0,0.58
32,10,0.1,0,0,0.1,-0.04,0,0.6
33,10,0.1,0,0,0.1,-0.04,0,0.62
34,10,0.1,0,0,0.1,-0.04,0,0.64
35,10,0.1,0,0,0.1,-0.04,0,0.66
36,10,0.1,0,0,0.1,-0.04,0,0.68
37,10,0.1,0,0,0.1,-0.04,0,0.7
38,10,0.06,0,0.1,0.11662,-0.02,0,-0.04
39,10,0.06,0,0.06,0.084853,-0.02,0,-0.02
40,10,0.06,0,0.02,0.063246,-0.02,0,0
41,10,0.06,0,0,0.06,-0.02,0,0.02
42,10,0.06,0,0,0.06,-0.02,0,0.04
43,10,0.06,0,0,0.06,-0.02,0,0.06
44,10,0.06,0,0,0.06,-0.02,0,0.08
45,10,0.06,0,0,0.06,-0.02,0,0.1
46,10,0.06,0,0,0.06,-0.02,0,0.12
47,10,0.06,0,0,0.06,-0.02,0,0.14
48,10,0.06,0,0,0.06,-0.02,0,0.16
49,10,0.06,0,0,0.06,-0.02,0,0.18
50,10,0.06,0,0,0.06,-0.02,0,0.2
51,10,0.06,0,0,0.06,-0.02,0,0.22
52,10,0.06,0,0,0.06,-0.02,0,0.24
53,10,0.06,0,0,0.06,-0.02,0,0.26
54,10,0.06,0,0,0.06,-0.02,0,0.28
55,10,0.06,0,0,0.06,-0.02,0,0.3
56,10,0.06,0,0,0.06,-0.02,0,0.32
57,10,0.06,0,0,0.06,-0.02,0,0.34
58,10,0.06,0,0,0.06,-0.02,0,0.36
59,10,0.06,0,0,0.06,-0.02,0,0.38
60,10,0.06,0,0,0.06,-0.02,0,0.4
61,10,0.06,0,0,0.06,-0.02,0,0.42
62,10,0.06,0,0,0.06,-0.02,0,0.44
63,10,0.06,0,0,0.06,-0.02,0,0.46
64,10,0.06,0,0,0.06,-0.02,0,0.48
65,10,0.06,0,0,0.06,-0.02,0,0.5
66,10,0.06,0,0,0.06,-0.02,0,0.52
67,10,0.06,0,0,0.06,-0.02,0,0.54
68,10,0.06,0,0,0.06,-0.02,0,0.56
69,10,0.06,0,0,0.06,-0.02,0,0.58
70,10,0.06,0,0,0.06,-0.02,0,0.6
71,10,0.06,0,0,0.06,-0.02,0,0.62
72,10,0.06,0,0,0.06,-0.02,0,0.64
73,10,0.06,0,0,0.06,-0.02,0,0.66
74,10,0.06,0,0,0.06,-0.02,0,0.68
75,10,0.06,0,0,0.06,-0.02,0,0.7
76,10,0.02,0,0.1,0.10198,0,0,-0.04
77,10,0.02,0,0.06,0.063246,0,0,-0.02
78,10,0.02,0,0.02,0.028284,0,0,0
79,10,0.02,0,0,0.02,0,0,0.02
80,10,0.02,0,0,0.02,0,0,0.04
81,10,0.02,0,0,0.02,0,0,0.06
82,10,0.02,0,0,0.02,0,0,0.08
83,10,0.02,0,0,0.02,0,0,0.1
84,10,0.02,0,0,0.02,0,0,0.12
85,10,0.02,0,0,0.02,0,0,0.14
86,10,0.02,0,0,0.02,0,0,0.16
87,10,0.02,0,0,0.02,0,0,0.18
88,10,0.02,0,0,0.02,0,0,0.2
89,10,0.02,0,0,0.02,0,0,0.22
90,10,0.02,0,0,0.02,0,0,0.24
91,10,0.02,0,0,0.02,0,0,0.26
92,10,0.02,0,0,0.02,0,0,0.28
93,10,0.02,0,0,0.02,0,0,0.3
94,10,0.02,0,0,0.02,0,0,0.32
95,10,0.02,0,0,0.02,0,0,0.34
96,10,0.02,0,0,0.02,0,0,0.36
97,10,0.02,0,0,0.02,0,0,0.38
98,10,0.02,0,0,0.02,0,0,0.4
99,10,0.02,0,0,0.02,0,0,0.42
100,10,0.02,0,0,0.02,0,0,0.44
101,10,0.02,0,0,0.02,0,0,0.46
102,10,0.02,0,0,0.02,0,0,0.48
103,10,0.02,0,0,0.02,0,0,0.5
104,10,0.02,0,0,0.02,0,0,0.52
105,10,0.02,0,0,0.02,0,0,0.54
106,10,0.02,0,0,0.02,0,0,0.56
107,10,0.02,0,0,0.02,0,0,0.58
108,10,0.02,0,0,0.02,0,0,0.6
109,10,0.02,0,0,0.02,0,0,0.62
110,10,0.02,0,0,0.02,0,0,0.64
111,10,0.02,0,0,0.02,0,0,0.66
112,10,0.02,0,0,0.02,0,0,0.68
113,10,0.02,0,0,0.02,0,0,0.7
114,10,0,0,0.1,0.1,0.02,0,-0.04
115,10,0,0,0.06,0.06,0.02,0,-0.02
116,10,0,0,0.02,0.02,0.02,0,0
117,10,0,0,0.1,0.1,0.04,0,-0.04
118,10,0,0,0.06,0.06,0.04,0,-0.02
119,10,0,0,0.02,0.02,0.04,0,0
120,10,0,0,0.1,0.1,0.06,0,-0.04
121,10,0,0,0.06,0.06,0.06,0,-0.02
122,10,0,0,0.02,0.02,0.06,0,0
123,10,0,0,0.1,0.1,0.08,0,-0.04
124,10,0,0,0.06,0.06,0.08,0,-0.02
125,10,0,0,0.02,0.02,0.08,0,0
126,10,0,0,0.1,0.1,0.1,0,-0.04
127,10,0,0,0.06,0.06,0.1,0,-0.02
128,10,0,0,0.02,0.02,0.1,0,0
129,10,0,0,0.1,0.1,0.12,0,-0.04
130,10,0,0,0.06,0.06,0.12,0,-0.02
131,10,0,0,0.02,0.02,0.12,0,0
132,10,0,0,0.1,0.1,0.14,0,-0.04
133,10,0,0,0.06,0.06,0.14,0,-0.02
134,10,0,0,0.02,0.02,0.14,0,0
135,10,0,0,0.1,0.1,0.16,0,-0.04
136,10,0,0,0.06,0.06,0.16,0,-0.02
137,10,0,0,0.02,0.02,0.16,0,0
138,10,0,0,0.1,0.1,0.18,0,-0.04
139,10,0,0,0.06,0.06,0.18,0,-0.02
140,10,0,0,0.02,0.02,0.18,0,0
141,10,0,0,0.1,0.1,0.2,0,-0.04
142,10,0,0,0.06,0.06,0.2,0,-0.02
143,10,0,0,0.02,0.02,0.2,0,0
144,10,0,0,0.1,0.1,0.22,0,-0.04
145,10,0,0,0.06,0.06,0.22,0,-0.02
146,10,0,0,0.02,0.02,0.22,0,0
147,10,0,0,0.1,0.1,0.24,0,-0.04
148,10,0,0,0.06,0.06,0.24,0,-0.02
149,10,0,0,0.02,0.02,0.24,0,0
150,10,0,0,0.1,0.1,0.26,0,-0.04
151,10,0,0,0.06,0.06,0.26,0,-0.02
152,10,0,0,0.02,0.02,0.26,0,0
153,10,0,0,0.1,0.1,0.28,0,-0.04
154,10,0,0,0.06,0.06,0.28,0,-0.02
155,10,0,0,0.02,0.02,0.28,0,0
156,10,0,0,0.1,0.1,0.3,0,-0.04
157,10,0,0,0.06,0.06,0.3,0,-0.02
